叶子,40,40,8,0,16,4,2,0,0,2,4,0,0,0,2,0,0,2,0,false
叶子,3332,3332,285,2,8,2,4,64,2,128,256,4,128,8,16,2,8,4,2,false
叶子,0,3332,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,false
叶子,1248,3332,97,4,2,8,2,8,128,16,4,32,8,64,2,8,2,32,4,false
叶子,0,3332,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,false
1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,false
不能止步于驹,1236,1236,181,8,4,2,4,2,32,128,64,16,4,8,4,8,2,32,2,false
不能止步于驹,2828,2828,285,2,8,16,8,4,128,64,16,32,8,256,2,8,4,16,4,false
不能止步于驹,0,2828,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
不能止步于驹,0,2828,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,false
不能止步于驹,0,2828,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0f,0,0,false
叶子,0,3332,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,false
叶子,0,3332,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,false,2
叶子,0,3332,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,false
叶子,0,3332,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,false
叶子,0,3332,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,false
叶子,0,3332,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,false
1,8,8,9,8,2,4,2,2,0,2,2,0,0,0,0,0,0,0,0,false
1,32,32,10,16,2,4,4,0,4,0,0,0,0,0,0,0,0,4,0,false
1,44,44,27,4,8,4,0,16,4,0,4,2,0,0,0,0,0,0,0,false
1,80,80,31,4,16,8,2,16,2,4,0,4,4,0,0,0,0,0,0,false
1,80,80,41,4,16,8,2,16,2,4,0,4,4,2,0,2,2,0,0,false
1,132,132,49,8,32,8,2,0,2,2,4,0,0,8,2,0,2,2,4,false
1,296,296,53,64,8,4,0,4,2,0,0,4,0,0,0,0,0,0,4,false
1,296,296,62,64,8,4,0,4,2,0,0,4,0,0,0,0,0,0,4,false
1,856,856,99,2,128,8,2,4,32,16,0,2,8,4,0,4,2,4,0,false
1,856,856,101,2,128,8,2,4,32,16,0,2,8,4,0,4,2,4,0,false
答辩,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
答辩,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false 1
答辩3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,false
答辩,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,false 1
答辩,540,540,16,2,32,2,4,8,2,32,4,4,8,64,2,2,4,16,8,false
答辩,0,540,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,false
叶子,0,3332,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,false
1,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
1,0,856,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,false
叶子,436,3332,32,16,64,8,2,4,16,2,8,16,4,8,4,0,2,4,0,false
叶子2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,false
