叶子,40,40,8,0,16,4,2,0,0,2,4,0,0,0,2,0,0,2,0,false
叶子,3332,3332,285,2,8,2,4,64,2,128,256,4,128,8,16,2,8,4,2,false
叶子,0,3332,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,false
叶子,1248,3332,97,4,2,8,2,8,128,16,4,32,8,64,2,8,2,32,4,false
叶子,0,3332,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,false
1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,false
不能止步于驹,1236,1236,181,8,4,2,4,2,32,128,64,16,4,8,4,8,2,32,2,false
不能止步于驹,2828,2828,285,2,8,16,8,4,128,64,16,32,8,256,2,8,4,16,4,false
不能止步于驹,0,2828,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
不能止步于驹,0,2828,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,false
不能止步于驹,0,2828,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0f,0,0,false
,1076,1076,109,64,4,2,8,8,2,4,2,16,128,16,8,2,4,2,4,false
,0,1076,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,false
,484,484,69,8,4,32,4,4,2,64,16,2,16,2,4,2,8,4,8,false
,0,484,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,false
